DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Weapon Desc,LAT,LON,Closest Restaurant,Restaurant Address
10/14/2017,1800,Olympic,BURGLARY,,34.0418,-118.3134,,
10/14/2017,2218,Southwest,ASSAULT,UNKNOWN FIREARM,34.021,-118.3692,,
10/13/2017,2230,77th Street,BURGLARY,,33.9487,-118.3025,,
10/5/2017,2200,Foothill,THEFT,,34.2596,-118.3049,,
10/31/2017,2230,West LA,ROBBERY,MACE/PEPPER SPRAY,34.0365,-118.4256,,
10/18/2017,1930,Newton,VEHICLE,,34.0177,-118.2638,,
10/19/2017,1400,Newton,BURGLARY,,33.998000000000005,-118.2405,,
10/16/2017,1121,Devonshire,THEFT,,34.2684,-118.5149,,
10/19/2017,1300,Southwest,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.01,-118.3296,,
10/21/2017,1900,West LA,THEFT,,34.0396,-118.4425,,
10/19/2017,2200,Hollenbeck,VEHICLE,,34.0421,-118.2125,,
10/25/2017,1950,Foothill,EXTORTION,,34.2501,-118.2859,,
10/13/2017,1,Central,RAPE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0388,-118.2574,,
10/23/2017,800,Foothill,THEFT,,34.2468,-118.2863,,
10/10/2017,2000,Topanga,THEFT,,34.1956,-118.5928,,
10/22/2017,1600,Southwest,BUNCO,,34.0192,-118.304,,
10/9/2017,2100,Van Nuys,BURGLARY,,34.1903,-118.4574,,
10/29/2017,1,Van Nuys,VANDALISM,,34.2085,-118.4698,,
10/19/2017,515,West LA,BIKE - STOLEN,,34.0411,-118.4509,,
10/10/2017,2200,Newton,BRANDISH WEAPON,HAND GUN,34.0315,-118.2322,,
10/29/2017,1600,N Hollywood,ASSAULT,HAND GUN,34.1941,-118.4225,,
10/7/2017,210,Harbor,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.7765,-118.2739,,
10/10/2017,1600,Rampart,ASSAULT,MACE/PEPPER SPRAY,34.0596,-118.2749,,
10/1/2017,2230,Northeast,BURGLARY,,34.0894,-118.2731,,
10/16/2017,1930,N Hollywood,BATTERY,UNKNOWN WEAPON/OTHER WEAPON,34.174,-118.3807,,
10/19/2017,2250,Southwest,VEHICLE,,34.0299,-118.3595,,
10/21/2017,400,Van Nuys,ASSAULT,UNKNOWN TYPE CUTTING INSTRUMENT,34.1907,-118.4487,,
10/1/2017,1500,Devonshire,THEFT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2482,-118.5361,,
10/28/2017,2010,Mission,LEWD CONDUCT,,34.3092,-118.439,,
10/25/2017,1200,Foothill,CHILD,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2157,-118.3644,,
10/27/2017,1630,Southeast,BURGLARY,UNKNOWN WEAPON/OTHER WEAPON,33.9345,-118.26299999999999,,
